Reporting_Airline,DestStateName,ArrDelay
American Airlines,Illinois,-15
Southwest,Colorado,-8
American Airlines,Texas,1
American Airlines,Florida,-3
American Airlines,Florida,7
Delta Air Lines,Georgia,-21
American Airlines,Florida,11
Delta Air Lines,Georgia,-36
Southwest,Texas,-9
SkyWest Airlines,California,27
SkyWest Airlines,Colorado,-9
Delta Air Lines,Georgia,-2
United Air Lines,Texas,-23
ExpressJet Airlines,Illinois,5
Southwest,Colorado,-10
Delta Air Lines,Florida,-1
Delta Air Lines,Georgia,1
ExpressJet Airlines,Illinois,4
SkyWest Airlines,Illinois,-18
Southwest,California,-6
American Airlines,Texas,28
SkyWest Airlines,Texas,12
Southwest,Florida,10
Southwest,Texas,-7
American Airlines,Georgia,-3
ExpressJet Airlines,Georgia,-7
American Airlines,Florida,27
Delta Air Lines,Georgia,-15
American Airlines,California,-18
Delta Air Lines,Georgia,2
Southwest,Texas,30
Delta Air Lines,Georgia,-26
Southwest,Georgia,-10
United Air Lines,Colorado,-11
American Airlines,Texas,14
Southwest,Texas,-30
Southwest,Illinois,-13
Southwest,California,13
SkyWest Airlines,California,-13
Southwest,Texas,-6
Southwest,Illinois,-8
Southwest,Texas,-13
Southwest,Florida,32
American Airlines,Texas,-7
SkyWest Airlines,California,-20
Delta Air Lines,Illinois,-13
Southwest,Georgia,-9
American Airlines,Texas,-7
Delta Air Lines,Georgia,1
American Airlines,Texas,-19
Southwest,Illinois,75
Southwest,Texas,-13
United Air Lines,California,-41
SkyWest Airlines,California,53
Southwest,California,11
United Air Lines,California,133
ExpressJet Airlines,Georgia,-3
Delta Air Lines,Georgia,26
Southwest,California,-13
American Airlines,Florida,16
Delta Air Lines,Florida,5
SkyWest Airlines,California,-26
United Air Lines,Colorado,9
Delta Air Lines,Texas,2
Southwest,Texas,6
Southwest,California,48
SkyWest Airlines,California,-16
Southwest,California,-9
ExpressJet Airlines,Georgia,46
United Air Lines,Colorado,-16
Southwest,Illinois,2
Southwest,Texas,-5
Southwest,Texas,-7
United Air Lines,Texas,-6
American Airlines,Florida,-8
ExpressJet Airlines,Texas,52
Delta Air Lines,Florida,-2
Delta Air Lines,Texas,-27
Southwest,California,35
Southwest,Florida,138
United Air Lines,Texas,-7
Delta Air Lines,Georgia,-7
United Air Lines,California,-30
Delta Air Lines,Florida,-17
SkyWest Airlines,Illinois,36
Southwest,Florida,9
United Air Lines,Colorado,-15
Southwest,Georgia,93
SkyWest Airlines,Illinois,-12
American Airlines,California,-5
Southwest,California,1
Southwest,California,-15
ExpressJet Airlines,Georgia,38
Southwest,California,22
United Air Lines,Illinois,33
SkyWest Airlines,Illinois,32
Southwest,Colorado,4
SkyWest Airlines,Texas,-13
Southwest,Illinois,15
Delta Air Lines,Georgia,-12
SkyWest Airlines,California,-1
Southwest,Texas,-8
American Airlines,Illinois,-15
ExpressJet Airlines,Georgia,-6
Delta Air Lines,Georgia,0
Delta Air Lines,California,-16
United Air Lines,Illinois,2
Southwest,Texas,0
ExpressJet Airlines,Georgia,-3
ExpressJet Airlines,Illinois,-14
SkyWest Airlines,California,-7
SkyWest Airlines,California,-1
Southwest,Texas,-20
Delta Air Lines,Florida,-7
Southwest,Georgia,-23
United Air Lines,Texas,-1
Delta Air Lines,Georgia,-10
American Airlines,Illinois,-16
Delta Air Lines,Georgia,-25
Southwest,California,-2
United Air Lines,California,-11
Delta Air Lines,Texas,8
ExpressJet Airlines,Texas,49
American Airlines,Texas,-12
United Air Lines,Illinois,-1
United Air Lines,Florida,211
Southwest,Illinois,-11
ExpressJet Airlines,Illinois,16
Southwest,California,11
United Air Lines,Illinois,137
Southwest,Georgia,82
ExpressJet Airlines,Illinois,4
Southwest,California,-2
SkyWest Airlines,California,-12
Southwest,Texas,2
American Airlines,Texas,-21
Delta Air Lines,Georgia,-5
ExpressJet Airlines,Georgia,54
Southwest,California,10
United Air Lines,Florida,4
American Airlines,Florida,-17
ExpressJet Airlines,Georgia,5
SkyWest Airlines,Illinois,-26
Southwest,Colorado,-11
Southwest,California,117
ExpressJet Airlines,Illinois,-8
Delta Air Lines,Georgia,6
Southwest,California,-6
Delta Air Lines,Florida,29
Delta Air Lines,Texas,-23
Southwest,Colorado,-5
Delta Air Lines,Georgia,-11
SkyWest Airlines,Texas,-33
SkyWest Airlines,California,14
Southwest,Florida,-20
Southwest,California,0
ExpressJet Airlines,Illinois,5
Delta Air Lines,Georgia,-3
SkyWest Airlines,California,-1
Southwest,California,2
Southwest,Florida,6
United Air Lines,California,-12
Southwest,Illinois,45
Southwest,Illinois,6
United Air Lines,Illinois,-20
Delta Air Lines,Georgia,-16
American Airlines,Florida,59
United Air Lines,California,-8
Delta Air Lines,California,0
American Airlines,Texas,-8
United Air Lines,California,11
American Airlines,California,-17
SkyWest Airlines,California,25
American Airlines,Georgia,1
American Airlines,Texas,-11
Delta Air Lines,Georgia,55
American Airlines,Florida,5
Southwest,Texas,-18
American Airlines,California,-1
SkyWest Airlines,Colorado,-2
SkyWest Airlines,California,8
ExpressJet Airlines,Georgia,2
ExpressJet Airlines,Illinois,64
SkyWest Airlines,Illinois,-14
American Airlines,Georgia,21
Southwest,Illinois,1
ExpressJet Airlines,Illinois,-11
American Airlines,Illinois,25
American Airlines,Florida,46
United Air Lines,Colorado,-18
American Airlines,Texas,31
SkyWest Airlines,California,0
Southwest,Colorado,-13
United Air Lines,Illinois,-4
ExpressJet Airlines,Illinois,-1
Delta Air Lines,California,-4
United Air Lines,California,0
United Air Lines,Illinois,47
Delta Air Lines,Georgia,-20
Southwest,Colorado,37
Delta Air Lines,Georgia,35
American Airlines,Florida,-18
ExpressJet Airlines,Texas,-20
Delta Air Lines,Texas,-8
Delta Air Lines,Georgia,-22
Delta Air Lines,California,57
ExpressJet Airlines,Texas,-16
Southwest,Florida,25
Delta Air Lines,Georgia,-6
SkyWest Airlines,California,-2
Southwest,California,49
Southwest,Colorado,7
SkyWest Airlines,California,60
American Airlines,Illinois,-36
Delta Air Lines,Georgia,-13
Southwest,Illinois,16
Delta Air Lines,Georgia,-10
Southwest,Florida,21
Delta Air Lines,Florida,3
United Air Lines,Illinois,-34
SkyWest Airlines,California,-12
United Air Lines,California,-29
ExpressJet Airlines,Illinois,-16
Southwest,California,-8
American Airlines,Texas,-9
Delta Air Lines,Georgia,-33
Southwest,California,-1
American Airlines,Texas,-15
United Air Lines,Illinois,-24
Southwest,Florida,-32
United Air Lines,California,-23
United Air Lines,Colorado,101
American Airlines,Texas,-16
Delta Air Lines,Georgia,-13
ExpressJet Airlines,Illinois,21
United Air Lines,Illinois,20
American Airlines,Texas,-14
SkyWest Airlines,California,-9
Southwest,Colorado,7
Southwest,Florida,-4
Southwest,California,-4
Southwest,Texas,-15
American Airlines,Florida,25
Southwest,California,0
Delta Air Lines,Florida,-6
Southwest,California,-16
Southwest,Texas,137
Southwest,Texas,-3
United Air Lines,Texas,-5
American Airlines,California,23
United Air Lines,Florida,-18
ExpressJet Airlines,Texas,-6
American Airlines,California,-27
Southwest,California,-9
Southwest,California,-13
Southwest,California,-8
SkyWest Airlines,California,-2
Delta Air Lines,Illinois,-8
ExpressJet Airlines,Illinois,-11
United Air Lines,California,6
American Airlines,Texas,-8
Southwest,California,-1
SkyWest Airlines,Florida,-20
SkyWest Airlines,Colorado,102
Southwest,Illinois,-8
American Airlines,Florida,-11
American Airlines,Florida,-18
Southwest,Florida,85
American Airlines,Texas,0
American Airlines,California,-5
Southwest,Texas,-4
United Air Lines,Colorado,10
Southwest,Texas,-6
Delta Air Lines,Georgia,-13
SkyWest Airlines,California,-11
Southwest,Colorado,-15
Southwest,Texas,-12
American Airlines,Illinois,-4
American Airlines,Texas,-10
Delta Air Lines,Georgia,1
American Airlines,Texas,-8
United Air Lines,Florida,-14
Delta Air Lines,Florida,-3
ExpressJet Airlines,Illinois,-24
Southwest,Texas,-8
Southwest,Colorado,-12
United Air Lines,Illinois,17
United Air Lines,Texas,31
Southwest,Florida,26
Southwest,California,50
ExpressJet Airlines,Texas,-18
Delta Air Lines,Georgia,-11
Southwest,Florida,10
SkyWest Airlines,California,7
Delta Air Lines,Florida,-7
SkyWest Airlines,Texas,268
Southwest,California,-2
Southwest,California,0
Southwest,Georgia,3
SkyWest Airlines,California,53
Delta Air Lines,Georgia,-9
United Air Lines,Illinois,2
American Airlines,Georgia,-21
Delta Air Lines,Florida,-34
American Airlines,Illinois,-7
United Air Lines,California,2
United Air Lines,Florida,-18
American Airlines,Florida,-21
American Airlines,Texas,5
American Airlines,Texas,-12
Southwest,Texas,5
SkyWest Airlines,Illinois,13
Delta Air Lines,Texas,-17
American Airlines,Illinois,45
Southwest,Texas,22
Delta Air Lines,Florida,-10
American Airlines,Texas,-11
Delta Air Lines,Georgia,2
Southwest,Illinois,13
ExpressJet Airlines,Texas,-6
Southwest,Texas,12
Southwest,Colorado,-4
Southwest,California,-9
Delta Air Lines,California,-11
Delta Air Lines,Georgia,45
Delta Air Lines,Georgia,-9
SkyWest Airlines,Colorado,-6
Southwest,California,9
American Airlines,Texas,-24
United Air Lines,California,-26
Southwest,California,-2
ExpressJet Airlines,Georgia,-14
Southwest,California,-15
Southwest,Texas,-8
United Air Lines,Florida,-20
American Airlines,Texas,8
United Air Lines,California,-16
United Air Lines,Colorado,-8
American Airlines,Texas,0
Delta Air Lines,Colorado,-19
SkyWest Airlines,California,216
Southwest,California,-3
American Airlines,Florida,-9
SkyWest Airlines,California,-5
Delta Air Lines,Georgia,7
Delta Air Lines,Georgia,-6
Southwest,California,0
Delta Air Lines,Georgia,262
American Airlines,Florida,-10
SkyWest Airlines,Illinois,102
United Air Lines,California,13
Delta Air Lines,Georgia,1
United Air Lines,Illinois,-5
Delta Air Lines,Georgia,-17
American Airlines,Texas,520
American Airlines,Florida,17
American Airlines,Texas,-12
United Air Lines,California,-23
American Airlines,Texas,7
United Air Lines,Texas,-15
American Airlines,Texas,-15
American Airlines,Texas,-16
Southwest,Georgia,11
United Air Lines,Texas,36
Southwest,Colorado,-32
ExpressJet Airlines,Georgia,17
United Air Lines,Illinois,3
Southwest,California,-5
ExpressJet Airlines,Illinois,-17
ExpressJet Airlines,Illinois,-8
American Airlines,California,101
SkyWest Airlines,California,-11
American Airlines,Texas,1
Delta Air Lines,Georgia,-23
Delta Air Lines,Georgia,4
American Airlines,California,2
Southwest,Florida,-10
SkyWest Airlines,Colorado,-3
United Air Lines,California,-7
United Air Lines,Texas,-19
Southwest,Texas,38
Southwest,California,0
Southwest,Florida,-5
American Airlines,Illinois,-30
Delta Air Lines,Texas,-19
American Airlines,Illinois,14
ExpressJet Airlines,Georgia,21
Southwest,Florida,-20
American Airlines,Florida,-29
ExpressJet Airlines,Texas,5
Delta Air Lines,Georgia,-26
Delta Air Lines,Florida,-11
United Air Lines,California,52
SkyWest Airlines,Colorado,-6
Southwest,Texas,63
Delta Air Lines,Georgia,-4
ExpressJet Airlines,Texas,-9
SkyWest Airlines,California,92
Southwest,California,6
Southwest,Texas,-9
Southwest,California,-5
Southwest,Texas,-1
ExpressJet Airlines,Texas,3
ExpressJet Airlines,Texas,28
SkyWest Airlines,Colorado,-11
United Air Lines,Colorado,0
ExpressJet Airlines,Texas,-10
Southwest,Florida,58
United Air Lines,Texas,15
Southwest,California,-2
SkyWest Airlines,Colorado,19
Southwest,California,-6
Southwest,Florida,-19
SkyWest Airlines,California,-32
SkyWest Airlines,California,-18
SkyWest Airlines,California,-12
Southwest,Georgia,18
Southwest,California,-26
American Airlines,Texas,-9
Southwest,Illinois,-16
Delta Air Lines,Florida,-21
American Airlines,California,-10
Southwest,California,-1
United Air Lines,Illinois,22
American Airlines,Texas,15
Southwest,California,45
Southwest,California,55
American Airlines,Illinois,-16
Southwest,Florida,-13
SkyWest Airlines,California,-7
Southwest,Florida,8
SkyWest Airlines,Illinois,-2
Southwest,Texas,26
American Airlines,Texas,30
Southwest,Texas,96
United Air Lines,Texas,-16
ExpressJet Airlines,Georgia,4
Delta Air Lines,Georgia,-2
American Airlines,Texas,-43
United Air Lines,Illinois,-7
Southwest,California,24
Southwest,Texas,-12
American Airlines,Florida,12
American Airlines,Florida,2
Southwest,Texas,-4
Southwest,Florida,-5
American Airlines,Texas,53
American Airlines,Illinois,13
Delta Air Lines,Georgia,-10
ExpressJet Airlines,Georgia,3
Delta Air Lines,Georgia,-10
Delta Air Lines,Georgia,-11
Delta Air Lines,Georgia,-22
Southwest,California,12
ExpressJet Airlines,Texas,-14
Southwest,California,-12
United Air Lines,California,48
American Airlines,Georgia,-12
United Air Lines,Texas,-20
ExpressJet Airlines,Texas,-1
SkyWest Airlines,California,21
Delta Air Lines,Georgia,28
Delta Air Lines,Florida,2
Delta Air Lines,Georgia,-14
Southwest,Florida,-11
Delta Air Lines,Georgia,-23
SkyWest Airlines,California,-14
Delta Air Lines,Florida,6
ExpressJet Airlines,Texas,-8
SkyWest Airlines,California,96
United Air Lines,Texas,-9
SkyWest Airlines,California,-14
SkyWest Airlines,Colorado,-10
American Airlines,Illinois,-18
American Airlines,Texas,45
American Airlines,California,39
Southwest,California,21
ExpressJet Airlines,Texas,5
Southwest,California,64
Delta Air Lines,Georgia,-9
SkyWest Airlines,California,0
SkyWest Airlines,Colorado,23
American Airlines,Colorado,-16
United Air Lines,Illinois,297
Southwest,Florida,27
Delta Air Lines,Georgia,-13
American Airlines,Florida,7
Delta Air Lines,Georgia,-18
United Air Lines,Texas,-3
Southwest,Florida,-1
Delta Air Lines,Georgia,44
United Air Lines,Colorado,-11
SkyWest Airlines,California,155
Southwest,Colorado,68
American Airlines,Texas,-24
American Airlines,Texas,-14
SkyWest Airlines,California,14
United Air Lines,Illinois,35
Delta Air Lines,Georgia,169
Southwest,Texas,11
SkyWest Airlines,California,5
United Air Lines,California,170
Delta Air Lines,Florida,24
Delta Air Lines,Georgia,-9
American Airlines,California,13
SkyWest Airlines,Illinois,-11
Southwest,Texas,-12
Delta Air Lines,Georgia,-5
Delta Air Lines,Georgia,-19
SkyWest Airlines,Colorado,-15
American Airlines,Texas,-1
Southwest,California,-11
United Air Lines,California,-13
SkyWest Airlines,California,2
SkyWest Airlines,California,-4
SkyWest Airlines,California,31
American Airlines,California,-14
Delta Air Lines,Florida,-5
Delta Air Lines,Texas,-14
Delta Air Lines,Georgia,-16
American Airlines,Texas,-5
Southwest,Colorado,-22
Southwest,Florida,31
United Air Lines,California,-10
Southwest,California,-12
Delta Air Lines,California,-13
Delta Air Lines,Georgia,22
United Air Lines,California,84
Southwest,California,-8
United Air Lines,Illinois,17
Southwest,Illinois,-12
Southwest,Texas,-14
Southwest,Texas,-10
Southwest,Texas,24
United Air Lines,California,-1
ExpressJet Airlines,Texas,4
SkyWest Airlines,California,-3
ExpressJet Airlines,Illinois,29
United Air Lines,California,5
Southwest,Georgia,8
American Airlines,Texas,-20
SkyWest Airlines,California,-26
United Air Lines,California,13
American Airlines,Texas,-17
American Airlines,Florida,-6
American Airlines,California,28
Southwest,California,15
United Air Lines,Texas,-3
Delta Air Lines,Georgia,-6
Southwest,Illinois,-15
United Air Lines,Illinois,137
American Airlines,Texas,-26
United Air Lines,Colorado,-11
American Airlines,Florida,36
American Airlines,California,18
Southwest,Florida,-14
United Air Lines,California,0
Southwest,California,-7
United Air Lines,Illinois,-9
Southwest,Illinois,-13
United Air Lines,Colorado,-7
Delta Air Lines,Georgia,6
American Airlines,Florida,44
SkyWest Airlines,Texas,16
United Air Lines,Colorado,114
SkyWest Airlines,California,17
American Airlines,California,33
Southwest,Texas,8
SkyWest Airlines,Texas,-13
Southwest,California,-7
Southwest,Texas,32
American Airlines,Illinois,-23
United Air Lines,Florida,90
Delta Air Lines,Georgia,-4
American Airlines,Texas,147
American Airlines,California,-11
Southwest,Texas,31
Delta Air Lines,Georgia,1
Delta Air Lines,Georgia,-1
Delta Air Lines,Florida,-11
SkyWest Airlines,Illinois,4
Southwest,California,55
United Air Lines,California,14
American Airlines,Texas,8
United Air Lines,California,-48
American Airlines,Texas,-4
United Air Lines,Florida,6
American Airlines,Texas,25
Delta Air Lines,Georgia,5
American Airlines,Texas,-12
Southwest,Texas,-13
Delta Air Lines,California,-6
SkyWest Airlines,Texas,-11
Southwest,California,6
Southwest,Texas,22
United Air Lines,Florida,-18
American Airlines,California,-12
Southwest,California,-3
Southwest,Texas,-4
ExpressJet Airlines,Texas,5
SkyWest Airlines,California,-2
American Airlines,Texas,2
Delta Air Lines,Illinois,-1
Delta Air Lines,Georgia,-11
SkyWest Airlines,Colorado,-8
Southwest,Texas,-12
American Airlines,Texas,-12
Southwest,Colorado,36
Southwest,Texas,0
American Airlines,Texas,10
ExpressJet Airlines,Georgia,8
United Air Lines,Texas,167
Delta Air Lines,Illinois,-2
Southwest,Texas,-14
United Air Lines,California,-3
SkyWest Airlines,California,5
Delta Air Lines,Florida,76
American Airlines,Illinois,-13
ExpressJet Airlines,Texas,-25
American Airlines,Illinois,-37
United Air Lines,Texas,-27
Delta Air Lines,Georgia,-16
United Air Lines,Florida,-29
Southwest,California,4
SkyWest Airlines,California,9
SkyWest Airlines,Illinois,16
SkyWest Airlines,Colorado,-11
American Airlines,Florida,6
Delta Air Lines,Georgia,-8
American Airlines,Texas,129
Southwest,Illinois,30
Southwest,Texas,67
SkyWest Airlines,Texas,-18
United Air Lines,California,-6
Southwest,California,-5
United Air Lines,Illinois,-3
American Airlines,Florida,18
United Air Lines,Illinois,-16
United Air Lines,Colorado,2
United Air Lines,Colorado,-16
SkyWest Airlines,California,-22
SkyWest Airlines,California,-5
United Air Lines,California,-13
United Air Lines,Texas,-14
United Air Lines,Colorado,-22
Delta Air Lines,Florida,-21
American Airlines,California,-10
American Airlines,Florida,-11
Southwest,California,11
Southwest,California,-7
Delta Air Lines,Florida,18
SkyWest Airlines,Colorado,32
Southwest,California,107
American Airlines,Florida,-7
United Air Lines,California,-21
American Airlines,Texas,61
United Air Lines,Illinois,69
ExpressJet Airlines,Illinois,79
Southwest,Florida,-10
Southwest,Florida,-7
SkyWest Airlines,Colorado,1
Southwest,Texas,6
United Air Lines,Colorado,-8
ExpressJet Airlines,Texas,-12
ExpressJet Airlines,Texas,0
American Airlines,Florida,0
Southwest,Illinois,8
American Airlines,Georgia,0
Southwest,Illinois,-2
United Air Lines,California,-16
Southwest,Georgia,-4
American Airlines,California,57
Southwest,Georgia,94
Southwest,Florida,3
American Airlines,California,-1
American Airlines,Illinois,3
Southwest,California,30
ExpressJet Airlines,Texas,-15
SkyWest Airlines,Texas,-8
SkyWest Airlines,Illinois,17
American Airlines,California,-26
Delta Air Lines,Georgia,-18
American Airlines,Illinois,-23
Southwest,California,-3
SkyWest Airlines,California,27
Southwest,California,57
SkyWest Airlines,California,-8
Delta Air Lines,Georgia,-13
United Air Lines,Colorado,-18
United Air Lines,Texas,-7
SkyWest Airlines,California,1
Southwest,California,1
Delta Air Lines,Georgia,-10
Southwest,California,-12
United Air Lines,Illinois,-25
SkyWest Airlines,California,-21
SkyWest Airlines,Georgia,-10
Delta Air Lines,Georgia,1
SkyWest Airlines,California,5
ExpressJet Airlines,Georgia,98
United Air Lines,California,6
Southwest,California,29
American Airlines,Texas,8
Delta Air Lines,Georgia,0
Delta Air Lines,Florida,4
Delta Air Lines,Georgia,-3
Delta Air Lines,Georgia,5
Delta Air Lines,Florida,85
American Airlines,Illinois,-4
Delta Air Lines,Georgia,8
American Airlines,Texas,22
Southwest,Illinois,87
SkyWest Airlines,Colorado,11
American Airlines,California,5
ExpressJet Airlines,Georgia,11
Southwest,Texas,-6
Delta Air Lines,Texas,13
SkyWest Airlines,Illinois,2
American Airlines,Florida,-36
SkyWest Airlines,Texas,8
American Airlines,Texas,-23
American Airlines,Texas,-17
SkyWest Airlines,Illinois,-10
Southwest,Colorado,-1
ExpressJet Airlines,Georgia,-3
Delta Air Lines,Georgia,-13
Delta Air Lines,Colorado,-9
American Airlines,Illinois,-12
Southwest,California,10
Delta Air Lines,California,-11
ExpressJet Airlines,Georgia,-7
Southwest,Georgia,5
Southwest,Florida,-15
Southwest,California,19
American Airlines,California,4
Southwest,Texas,-11
Delta Air Lines,Georgia,-15
SkyWest Airlines,Texas,32
United Air Lines,California,140
ExpressJet Airlines,Georgia,36
ExpressJet Airlines,Texas,-2
American Airlines,Texas,-24
United Air Lines,Florida,-10
United Air Lines,Texas,145
SkyWest Airlines,Colorado,-29
Delta Air Lines,Georgia,-19
Delta Air Lines,Florida,35
American Airlines,Texas,-21
Delta Air Lines,Georgia,-14
Southwest,Illinois,-9
American Airlines,Texas,-4
Southwest,Texas,-39
United Air Lines,Illinois,-6
Southwest,Illinois,-11
Delta Air Lines,Colorado,-34
Delta Air Lines,Georgia,-8
Delta Air Lines,Georgia,-8
Southwest,Florida,-15
American Airlines,Florida,16
Delta Air Lines,Georgia,-7
American Airlines,Florida,-10
Southwest,Colorado,-9
SkyWest Airlines,California,3
Delta Air Lines,Georgia,-2
United Air Lines,California,58
Southwest,Texas,16
Delta Air Lines,Florida,-6
ExpressJet Airlines,Texas,94
Southwest,Illinois,-2
ExpressJet Airlines,Illinois,-11
Southwest,California,10
Delta Air Lines,Texas,0
Southwest,Texas,12
Southwest,Colorado,-27
United Air Lines,Colorado,-17
Delta Air Lines,Georgia,-5
Delta Air Lines,Georgia,13
SkyWest Airlines,California,14
Southwest,Colorado,-11
Delta Air Lines,Georgia,-8
SkyWest Airlines,California,-9
American Airlines,Texas,4
SkyWest Airlines,Colorado,-9
Delta Air Lines,Georgia,-2
Delta Air Lines,Georgia,-15
SkyWest Airlines,Colorado,-12
Southwest,California,3
Delta Air Lines,Georgia,122
Delta Air Lines,Georgia,-11
United Air Lines,Florida,36
American Airlines,Florida,5
Delta Air Lines,Florida,-11
ExpressJet Airlines,Georgia,-19
Southwest,Texas,-5
Southwest,Illinois,25
Southwest,California,-19
Southwest,Illinois,1
United Air Lines,Colorado,-5
SkyWest Airlines,California,13
United Air Lines,Texas,48
American Airlines,Texas,2
Southwest,California,15
Delta Air Lines,California,-10
American Airlines,Illinois,-15
Southwest,Texas,72
Southwest,California,21
United Air Lines,Illinois,31
Southwest,Illinois,-19
Southwest,Texas,-4
ExpressJet Airlines,Texas,4
Delta Air Lines,Georgia,20
SkyWest Airlines,Georgia,-23
United Air Lines,Florida,-5
SkyWest Airlines,California,-30
SkyWest Airlines,California,-15
SkyWest Airlines,California,6
SkyWest Airlines,California,231
ExpressJet Airlines,Texas,-11
Southwest,Florida,2
American Airlines,Florida,-19
Delta Air Lines,Georgia,17
Southwest,Illinois,-11
ExpressJet Airlines,Texas,-18
United Air Lines,Illinois,-14
Delta Air Lines,Florida,-20
American Airlines,Illinois,-18
American Airlines,Texas,-14
United Air Lines,Texas,-26
ExpressJet Airlines,Georgia,-22
Southwest,Texas,-8
Delta Air Lines,Georgia,5
Southwest,Texas,-17
SkyWest Airlines,California,55
United Air Lines,Texas,78
American Airlines,Texas,1
American Airlines,Florida,0
Delta Air Lines,Texas,-28
Southwest,Texas,-9
Southwest,Texas,-2
United Air Lines,Florida,-10
Southwest,California,4
Southwest,California,3
Delta Air Lines,Georgia,66
American Airlines,Florida,-5
American Airlines,Colorado,-13
Southwest,Illinois,-7
Delta Air Lines,California,1
SkyWest Airlines,California,0
Southwest,California,-5
Delta Air Lines,Florida,-7
Southwest,California,-1
ExpressJet Airlines,Georgia,-6
Southwest,Illinois,-12
ExpressJet Airlines,Texas,3
Delta Air Lines,Texas,-38
Southwest,California,-10
Southwest,Florida,14
Southwest,Colorado,-9
American Airlines,California,30
United Air Lines,Florida,-16
Southwest,Colorado,-21
United Air Lines,Illinois,51
Delta Air Lines,Florida,-15
Southwest,Texas,39
ExpressJet Airlines,Georgia,145
ExpressJet Airlines,Illinois,23
United Air Lines,Colorado,0
United Air Lines,California,-6
American Airlines,Texas,49
ExpressJet Airlines,Texas,79
American Airlines,Texas,6
ExpressJet Airlines,Georgia,-12
Southwest,Texas,-13
SkyWest Airlines,Texas,6
Delta Air Lines,California,-30
American Airlines,Texas,-19
Southwest,Illinois,-11
SkyWest Airlines,California,-28
Southwest,Texas,-11
American Airlines,Texas,1
American Airlines,Texas,-27
Delta Air Lines,Georgia,36
SkyWest Airlines,California,-13
ExpressJet Airlines,Georgia,11
United Air Lines,Texas,229
ExpressJet Airlines,Texas,9
American Airlines,Illinois,-7
American Airlines,Illinois,-10
SkyWest Airlines,Colorado,-4
Southwest,Texas,-2
Delta Air Lines,Georgia,10
United Air Lines,California,43
Southwest,Texas,-11
United Air Lines,Colorado,-9
Delta Air Lines,Georgia,11
ExpressJet Airlines,Georgia,11
American Airlines,Texas,3
Southwest,Florida,-4
Delta Air Lines,Georgia,-10
United Air Lines,Colorado,-4
United Air Lines,Illinois,58
United Air Lines,California,-10
Southwest,California,-11
SkyWest Airlines,California,-16
Delta Air Lines,California,-12
Southwest,Texas,68
ExpressJet Airlines,Georgia,23
Delta Air Lines,California,29
United Air Lines,Illinois,-15
American Airlines,Texas,-16
Southwest,Texas,-19
United Air Lines,Illinois,178
Southwest,California,0
Southwest,Illinois,19
United Air Lines,Texas,-25
ExpressJet Airlines,Illinois,6
ExpressJet Airlines,Georgia,-19
Delta Air Lines,Georgia,-17
Southwest,California,-4
United Air Lines,Illinois,-6
Southwest,Illinois,-13
SkyWest Airlines,California,-12
Delta Air Lines,California,-16
Delta Air Lines,Florida,-3
Southwest,Colorado,-12
SkyWest Airlines,Texas,26
SkyWest Airlines,California,142
American Airlines,Florida,-9
American Airlines,Illinois,-16
United Air Lines,Illinois,-7
Delta Air Lines,Georgia,16
Southwest,Colorado,-9
American Airlines,Texas,-13
Delta Air Lines,Georgia,-2
Southwest,California,39
Southwest,Illinois,3
American Airlines,Colorado,35
Southwest,Texas,-15
United Air Lines,Illinois,-13
United Air Lines,California,9
Southwest,Colorado,6
American Airlines,Florida,-27
United Air Lines,California,3
United Air Lines,Texas,-32
Southwest,Florida,-18
Southwest,Texas,12
Delta Air Lines,Georgia,7
SkyWest Airlines,California,-17
Southwest,Florida,-13
ExpressJet Airlines,Texas,-22
Delta Air Lines,Georgia,10
SkyWest Airlines,Illinois,-26
Delta Air Lines,Georgia,-11
Southwest,Texas,-10
American Airlines,Florida,-12
Delta Air Lines,Georgia,70
ExpressJet Airlines,Georgia,4
United Air Lines,California,10
Delta Air Lines,Georgia,-15
SkyWest Airlines,Colorado,13
United Air Lines,California,-41
ExpressJet Airlines,Texas,-25
American Airlines,Florida,-6
ExpressJet Airlines,Texas,-14
Southwest,California,-17
ExpressJet Airlines,Texas,231
SkyWest Airlines,Colorado,20
Southwest,Colorado,-14
American Airlines,Texas,-10
American Airlines,California,81
Southwest,Florida,37
SkyWest Airlines,Illinois,10
Delta Air Lines,Georgia,-5
Southwest,Colorado,2
American Airlines,California,9
ExpressJet Airlines,Illinois,66
SkyWest Airlines,California,5
Delta Air Lines,Georgia,27
American Airlines,California,-30
SkyWest Airlines,Texas,-23
Delta Air Lines,Georgia,14
American Airlines,Texas,34
United Air Lines,Texas,14
United Air Lines,Illinois,-21
Southwest,Florida,-24
Southwest,California,32
Southwest,Florida,18
Delta Air Lines,Florida,16
ExpressJet Airlines,Texas,-14
Delta Air Lines,Georgia,4
United Air Lines,Texas,-38
ExpressJet Airlines,Georgia,67
Delta Air Lines,Colorado,31
Delta Air Lines,Florida,-18
SkyWest Airlines,California,-2
Southwest,Colorado,-13
American Airlines,Florida,-13
SkyWest Airlines,California,-20
American Airlines,Illinois,41
American Airlines,Texas,-9
ExpressJet Airlines,Illinois,-19
American Airlines,Texas,-3
American Airlines,Texas,-16
Southwest,Illinois,12
United Air Lines,Colorado,-11
United Air Lines,Colorado,-16
ExpressJet Airlines,Texas,-7
Southwest,Texas,66
United Air Lines,Texas,-18
United Air Lines,California,-10
