Reporting_Airline,DelayType,DelayAmount
American Airlines,NASDelay,14
American Airlines,NASDelay,7
SkyWest Airlines,NASDelay,22
ExpressJet Airlines,NASDelay,6
United Air Lines,NASDelay,192
American Airlines,NASDelay,17
Delta Air Lines,NASDelay,17
ExpressJet Airlines,NASDelay,2
Delta Air Lines,NASDelay,2
United Air Lines,NASDelay,9
Delta Air Lines,NASDelay,7
SkyWest Airlines,NASDelay,2
Southwest,NASDelay,15
SkyWest Airlines,NASDelay,5
United Air Lines,NASDelay,9
Southwest,NASDelay,1
American Airlines,NASDelay,28
SkyWest Airlines,NASDelay,5
Southwest,NASDelay,3
American Airlines,NASDelay,22
American Airlines,NASDelay,17
SkyWest Airlines,NASDelay,121
SkyWest Airlines,NASDelay,36
United Air Lines,NASDelay,21
Southwest,NASDelay,38
ExpressJet Airlines,NASDelay,19
American Airlines,NASDelay,4
American Airlines,NASDelay,27
American Airlines,NASDelay,12
Southwest,NASDelay,1
American Airlines,NASDelay,31
American Airlines,NASDelay,33
Delta Air Lines,NASDelay,2
ExpressJet Airlines,NASDelay,45
Southwest,NASDelay,1
Southwest,NASDelay,33
United Air Lines,NASDelay,8
United Air Lines,NASDelay,65
American Airlines,NASDelay,5
Southwest,NASDelay,1
Southwest,NASDelay,41
SkyWest Airlines,NASDelay,1
Delta Air Lines,NASDelay,2
Southwest,NASDelay,4
SkyWest Airlines,NASDelay,1
Delta Air Lines,NASDelay,5
ExpressJet Airlines,NASDelay,5
American Airlines,NASDelay,13
Delta Air Lines,NASDelay,32
Delta Air Lines,NASDelay,28
Delta Air Lines,NASDelay,18
Southwest,NASDelay,6
Southwest,NASDelay,6
ExpressJet Airlines,NASDelay,5
Southwest,NASDelay,15
Delta Air Lines,NASDelay,23
Southwest,NASDelay,17
American Airlines,NASDelay,17
United Air Lines,NASDelay,22
Southwest,NASDelay,96
American Airlines,NASDelay,21
SkyWest Airlines,NASDelay,31
SkyWest Airlines,NASDelay,4
Southwest,NASDelay,21
Southwest,NASDelay,15
SkyWest Airlines,NASDelay,27
ExpressJet Airlines,NASDelay,21
Southwest,NASDelay,7
ExpressJet Airlines,NASDelay,35
American Airlines,NASDelay,9
Delta Air Lines,NASDelay,33
SkyWest Airlines,NASDelay,25
Delta Air Lines,NASDelay,29
American Airlines,NASDelay,16
Southwest,NASDelay,1
Delta Air Lines,NASDelay,3
Southwest,NASDelay,5
Southwest,NASDelay,3
Delta Air Lines,NASDelay,15
United Air Lines,NASDelay,27
United Air Lines,NASDelay,9
Southwest,NASDelay,11
Southwest,NASDelay,109
American Airlines,NASDelay,53
Southwest,NASDelay,15
Southwest,NASDelay,4
Southwest,NASDelay,9
American Airlines,NASDelay,12
Delta Air Lines,NASDelay,74
Delta Air Lines,NASDelay,42
SkyWest Airlines,NASDelay,20
Southwest,NASDelay,14
Delta Air Lines,NASDelay,14
ExpressJet Airlines,NASDelay,5
SkyWest Airlines,NASDelay,98
American Airlines,NASDelay,4
Southwest,NASDelay,20
SkyWest Airlines,NASDelay,1
Delta Air Lines,NASDelay,3
Southwest,NASDelay,4
American Airlines,NASDelay,34
ExpressJet Airlines,NASDelay,15
American Airlines,NASDelay,102
Southwest,NASDelay,2
ExpressJet Airlines,NASDelay,66
American Airlines,NASDelay,41
Southwest,NASDelay,18
ExpressJet Airlines,NASDelay,30
American Airlines,NASDelay,19
SkyWest Airlines,NASDelay,16
American Airlines,NASDelay,5
American Airlines,NASDelay,50
SkyWest Airlines,NASDelay,30
Southwest,NASDelay,12
Southwest,NASDelay,108
American Airlines,NASDelay,5
SkyWest Airlines,NASDelay,1
ExpressJet Airlines,NASDelay,1
ExpressJet Airlines,NASDelay,25
United Air Lines,NASDelay,5
American Airlines,NASDelay,3
Southwest,NASDelay,13
Delta Air Lines,NASDelay,29
ExpressJet Airlines,NASDelay,45
United Air Lines,NASDelay,84
American Airlines,NASDelay,12
ExpressJet Airlines,NASDelay,18
Southwest,NASDelay,25
Delta Air Lines,NASDelay,24
SkyWest Airlines,NASDelay,121
United Air Lines,NASDelay,5
Southwest,NASDelay,7
Southwest,NASDelay,12
Southwest,NASDelay,1
American Airlines,NASDelay,16
United Air Lines,NASDelay,36
SkyWest Airlines,NASDelay,6
ExpressJet Airlines,NASDelay,3
Southwest,NASDelay,1
SkyWest Airlines,NASDelay,11
SkyWest Airlines,NASDelay,5
Southwest,NASDelay,23
Delta Air Lines,NASDelay,61
American Airlines,NASDelay,23
American Airlines,NASDelay,42
Delta Air Lines,NASDelay,16
Southwest,NASDelay,11
American Airlines,NASDelay,44
ExpressJet Airlines,NASDelay,17
Southwest,NASDelay,3
ExpressJet Airlines,NASDelay,3
Delta Air Lines,NASDelay,18
Southwest,NASDelay,23
ExpressJet Airlines,NASDelay,17
Southwest,NASDelay,1
Delta Air Lines,NASDelay,17
Southwest,NASDelay,4
Southwest,NASDelay,17
ExpressJet Airlines,NASDelay,33
American Airlines,NASDelay,9
Southwest,NASDelay,10
Delta Air Lines,NASDelay,40
American Airlines,NASDelay,24
Southwest,NASDelay,6
Southwest,NASDelay,15
SkyWest Airlines,NASDelay,1
Delta Air Lines,NASDelay,43
Delta Air Lines,NASDelay,21
Southwest,NASDelay,44
United Air Lines,NASDelay,27
SkyWest Airlines,NASDelay,24
ExpressJet Airlines,NASDelay,7
Delta Air Lines,NASDelay,63
ExpressJet Airlines,NASDelay,1
SkyWest Airlines,NASDelay,6
Delta Air Lines,NASDelay,34
United Air Lines,NASDelay,22
Delta Air Lines,NASDelay,19
United Air Lines,NASDelay,19
American Airlines,NASDelay,22
SkyWest Airlines,NASDelay,23
American Airlines,NASDelay,25
ExpressJet Airlines,NASDelay,10
ExpressJet Airlines,NASDelay,31
Southwest,NASDelay,59
Delta Air Lines,NASDelay,45
United Air Lines,NASDelay,145
ExpressJet Airlines,NASDelay,19
SkyWest Airlines,NASDelay,18
Southwest,NASDelay,10
SkyWest Airlines,NASDelay,115
United Air Lines,NASDelay,25
United Air Lines,NASDelay,22
American Airlines,NASDelay,4
ExpressJet Airlines,NASDelay,12
American Airlines,NASDelay,4
United Air Lines,NASDelay,25
Southwest,NASDelay,1
American Airlines,NASDelay,90
American Airlines,NASDelay,9
Southwest,NASDelay,41
Delta Air Lines,NASDelay,9
Delta Air Lines,NASDelay,9
Southwest,NASDelay,5
United Air Lines,NASDelay,15
SkyWest Airlines,NASDelay,15
Southwest,NASDelay,6
American Airlines,NASDelay,13
United Air Lines,NASDelay,16
American Airlines,NASDelay,43
American Airlines,NASDelay,9
Southwest,NASDelay,21
Delta Air Lines,NASDelay,2
United Air Lines,NASDelay,15
Southwest,NASDelay,3
American Airlines,NASDelay,20
SkyWest Airlines,NASDelay,16
Delta Air Lines,NASDelay,7
Southwest,NASDelay,16
ExpressJet Airlines,NASDelay,34
Southwest,NASDelay,4
Delta Air Lines,NASDelay,34
Southwest,NASDelay,2
American Airlines,NASDelay,4
Delta Air Lines,NASDelay,18
SkyWest Airlines,NASDelay,13
Southwest,NASDelay,3
United Air Lines,NASDelay,8
Southwest,NASDelay,33
Southwest,NASDelay,4
Delta Air Lines,NASDelay,25
Southwest,NASDelay,8
American Airlines,NASDelay,26
Southwest,NASDelay,3
Southwest,NASDelay,4
Southwest,NASDelay,32
Delta Air Lines,NASDelay,3
United Air Lines,NASDelay,19
Delta Air Lines,NASDelay,10
United Air Lines,NASDelay,61
American Airlines,NASDelay,24
Southwest,NASDelay,2
Southwest,NASDelay,19
Delta Air Lines,NASDelay,22
ExpressJet Airlines,NASDelay,21
ExpressJet Airlines,NASDelay,17
American Airlines,NASDelay,5
United Air Lines,NASDelay,18
Southwest,NASDelay,16
American Airlines,NASDelay,20
American Airlines,NASDelay,8
SkyWest Airlines,NASDelay,3
United Air Lines,NASDelay,16
American Airlines,NASDelay,18
SkyWest Airlines,NASDelay,23
United Air Lines,NASDelay,77
Delta Air Lines,NASDelay,21
SkyWest Airlines,NASDelay,20
Delta Air Lines,NASDelay,18
Southwest,NASDelay,2
SkyWest Airlines,NASDelay,19
Delta Air Lines,NASDelay,18
American Airlines,NASDelay,28
SkyWest Airlines,NASDelay,37
Delta Air Lines,NASDelay,31
Southwest,NASDelay,18
SkyWest Airlines,NASDelay,119
American Airlines,NASDelay,68
United Air Lines,NASDelay,25
Delta Air Lines,NASDelay,33
Delta Air Lines,NASDelay,20
Southwest,NASDelay,43
Delta Air Lines,NASDelay,34
Delta Air Lines,NASDelay,20
American Airlines,NASDelay,16
SkyWest Airlines,NASDelay,52
Delta Air Lines,NASDelay,2
American Airlines,NASDelay,62
Delta Air Lines,NASDelay,22
Southwest,NASDelay,47
SkyWest Airlines,NASDelay,32
American Airlines,NASDelay,18
United Air Lines,NASDelay,20
United Air Lines,NASDelay,30
Southwest,NASDelay,31
SkyWest Airlines,NASDelay,63
Southwest,NASDelay,4
Delta Air Lines,NASDelay,8
American Airlines,NASDelay,36
Southwest,NASDelay,51
ExpressJet Airlines,NASDelay,18
Southwest,NASDelay,3
Southwest,NASDelay,75
American Airlines,NASDelay,4
Southwest,NASDelay,4
American Airlines,NASDelay,1
American Airlines,NASDelay,22
American Airlines,NASDelay,19
ExpressJet Airlines,NASDelay,15
ExpressJet Airlines,NASDelay,48
ExpressJet Airlines,NASDelay,28
Delta Air Lines,NASDelay,14
ExpressJet Airlines,NASDelay,26
United Air Lines,NASDelay,22
United Air Lines,NASDelay,42
United Air Lines,NASDelay,21
Southwest,NASDelay,13
Southwest,NASDelay,13
Delta Air Lines,NASDelay,28
American Airlines,NASDelay,12
Southwest,NASDelay,18
United Air Lines,NASDelay,301
United Air Lines,NASDelay,20
Delta Air Lines,NASDelay,36
American Airlines,NASDelay,32
SkyWest Airlines,NASDelay,64
ExpressJet Airlines,NASDelay,17
Southwest,NASDelay,13
ExpressJet Airlines,NASDelay,46
SkyWest Airlines,NASDelay,26
American Airlines,NASDelay,20
Southwest,NASDelay,11
Delta Air Lines,NASDelay,20
United Air Lines,NASDelay,28
Delta Air Lines,NASDelay,19
American Airlines,NASDelay,14
United Air Lines,NASDelay,18
SkyWest Airlines,NASDelay,6
ExpressJet Airlines,NASDelay,33
United Air Lines,NASDelay,2
American Airlines,NASDelay,27
United Air Lines,NASDelay,16
ExpressJet Airlines,NASDelay,89
United Air Lines,NASDelay,15
Delta Air Lines,NASDelay,12
Delta Air Lines,NASDelay,24
Southwest,NASDelay,6
SkyWest Airlines,NASDelay,23
United Air Lines,NASDelay,9
United Air Lines,NASDelay,17
Delta Air Lines,NASDelay,16
Delta Air Lines,NASDelay,15
SkyWest Airlines,NASDelay,15
United Air Lines,NASDelay,16
Southwest,NASDelay,22
Delta Air Lines,NASDelay,17
Southwest,NASDelay,19
Southwest,NASDelay,1
American Airlines,NASDelay,4
Southwest,NASDelay,4
Delta Air Lines,NASDelay,21
Southwest,NASDelay,1
American Airlines,NASDelay,28
American Airlines,NASDelay,21
SkyWest Airlines,NASDelay,7
Southwest,NASDelay,15
United Air Lines,NASDelay,8
ExpressJet Airlines,NASDelay,1
American Airlines,NASDelay,6
American Airlines,NASDelay,9
SkyWest Airlines,NASDelay,21
Delta Air Lines,NASDelay,4
United Air Lines,NASDelay,8
American Airlines,NASDelay,15
Southwest,NASDelay,31
American Airlines,NASDelay,11
SkyWest Airlines,NASDelay,60
American Airlines,NASDelay,21
American Airlines,NASDelay,2
Southwest,NASDelay,12
American Airlines,NASDelay,4
SkyWest Airlines,NASDelay,181
Southwest,NASDelay,19
Southwest,NASDelay,1
ExpressJet Airlines,NASDelay,1
Delta Air Lines,NASDelay,49
ExpressJet Airlines,NASDelay,16
Southwest,NASDelay,18
ExpressJet Airlines,NASDelay,3
SkyWest Airlines,NASDelay,1
ExpressJet Airlines,NASDelay,74
American Airlines,NASDelay,30
Southwest,NASDelay,116
ExpressJet Airlines,NASDelay,1
United Air Lines,NASDelay,7
SkyWest Airlines,NASDelay,28
SkyWest Airlines,NASDelay,8
American Airlines,NASDelay,6
Southwest,NASDelay,17
American Airlines,NASDelay,3
SkyWest Airlines,NASDelay,6
United Air Lines,NASDelay,35
Southwest,NASDelay,63
SkyWest Airlines,NASDelay,19
Delta Air Lines,NASDelay,16
American Airlines,NASDelay,11
Southwest,NASDelay,19
Delta Air Lines,NASDelay,16
Southwest,NASDelay,17
Delta Air Lines,NASDelay,13
Southwest,NASDelay,16
Delta Air Lines,NASDelay,34
ExpressJet Airlines,NASDelay,5
SkyWest Airlines,NASDelay,33
Southwest,NASDelay,32
ExpressJet Airlines,NASDelay,16
Southwest,NASDelay,11
Southwest,NASDelay,11
Southwest,NASDelay,2
ExpressJet Airlines,NASDelay,4
American Airlines,NASDelay,17
United Air Lines,NASDelay,253
Southwest,NASDelay,32
ExpressJet Airlines,NASDelay,28
Southwest,NASDelay,28
ExpressJet Airlines,NASDelay,8
American Airlines,NASDelay,15
Southwest,NASDelay,12
ExpressJet Airlines,NASDelay,6
American Airlines,NASDelay,40
Southwest,NASDelay,3
Delta Air Lines,NASDelay,17
Southwest,NASDelay,12
ExpressJet Airlines,NASDelay,8
Southwest,NASDelay,24
Delta Air Lines,NASDelay,4
American Airlines,NASDelay,25
SkyWest Airlines,NASDelay,6
Delta Air Lines,NASDelay,14
Southwest,NASDelay,10
United Air Lines,NASDelay,15
ExpressJet Airlines,NASDelay,3
Southwest,NASDelay,43
Southwest,NASDelay,13
SkyWest Airlines,NASDelay,55
United Air Lines,NASDelay,142
United Air Lines,NASDelay,49
ExpressJet Airlines,NASDelay,6
SkyWest Airlines,NASDelay,19
United Air Lines,NASDelay,29
Delta Air Lines,NASDelay,58
United Air Lines,NASDelay,24
Delta Air Lines,NASDelay,20
Southwest,NASDelay,14
Delta Air Lines,NASDelay,36
Southwest,NASDelay,4
Southwest,NASDelay,8
American Airlines,NASDelay,22
SkyWest Airlines,NASDelay,7
SkyWest Airlines,NASDelay,31
ExpressJet Airlines,NASDelay,67
Southwest,NASDelay,11
ExpressJet Airlines,NASDelay,3
Southwest,NASDelay,10
Southwest,NASDelay,32
Delta Air Lines,NASDelay,43
SkyWest Airlines,NASDelay,2
ExpressJet Airlines,NASDelay,1
Southwest,NASDelay,2
United Air Lines,NASDelay,26
SkyWest Airlines,NASDelay,8
United Air Lines,NASDelay,30
ExpressJet Airlines,NASDelay,39
American Airlines,NASDelay,66
Delta Air Lines,NASDelay,53
Southwest,NASDelay,1
Southwest,NASDelay,9
SkyWest Airlines,NASDelay,26
SkyWest Airlines,NASDelay,52
ExpressJet Airlines,NASDelay,20
Southwest,NASDelay,12
United Air Lines,NASDelay,27
United Air Lines,NASDelay,1
Southwest,NASDelay,22
Delta Air Lines,NASDelay,17
United Air Lines,NASDelay,15
Southwest,NASDelay,28
United Air Lines,NASDelay,23
American Airlines,NASDelay,104
Delta Air Lines,NASDelay,27
Southwest,NASDelay,36
SkyWest Airlines,NASDelay,24
American Airlines,NASDelay,20
Delta Air Lines,NASDelay,26
Southwest,NASDelay,14
Southwest,NASDelay,27
Southwest,NASDelay,44
Delta Air Lines,NASDelay,21
Delta Air Lines,NASDelay,35
SkyWest Airlines,NASDelay,6
Southwest,NASDelay,11
American Airlines,NASDelay,14
United Air Lines,NASDelay,73
SkyWest Airlines,NASDelay,68
ExpressJet Airlines,NASDelay,4
Southwest,NASDelay,2
ExpressJet Airlines,NASDelay,23
ExpressJet Airlines,NASDelay,16
Southwest,NASDelay,9
SkyWest Airlines,NASDelay,1
American Airlines,NASDelay,21
Delta Air Lines,NASDelay,4
United Air Lines,NASDelay,2
American Airlines,NASDelay,23
United Air Lines,NASDelay,49
United Air Lines,NASDelay,54
Delta Air Lines,NASDelay,3
American Airlines,NASDelay,25
American Airlines,NASDelay,35
Delta Air Lines,NASDelay,10
SkyWest Airlines,NASDelay,7
United Air Lines,NASDelay,24
Southwest,NASDelay,4
Southwest,NASDelay,5
ExpressJet Airlines,NASDelay,15
Southwest,NASDelay,31
Southwest,NASDelay,2
Southwest,NASDelay,21
American Airlines,NASDelay,33
American Airlines,NASDelay,1
Southwest,NASDelay,27
United Air Lines,NASDelay,15
United Air Lines,NASDelay,5
Southwest,NASDelay,7
Southwest,NASDelay,143
Southwest,NASDelay,14
Southwest,NASDelay,9
SkyWest Airlines,NASDelay,28
United Air Lines,NASDelay,80
Southwest,NASDelay,16
SkyWest Airlines,NASDelay,25
American Airlines,NASDelay,3
Southwest,NASDelay,5
ExpressJet Airlines,NASDelay,37
United Air Lines,NASDelay,16
Southwest,NASDelay,17
Delta Air Lines,NASDelay,33
SkyWest Airlines,NASDelay,51
SkyWest Airlines,NASDelay,20
Delta Air Lines,NASDelay,3
American Airlines,NASDelay,19
Southwest,NASDelay,3
United Air Lines,NASDelay,8
United Air Lines,NASDelay,68
American Airlines,NASDelay,11
Southwest,NASDelay,20
SkyWest Airlines,NASDelay,42
Southwest,NASDelay,3
Delta Air Lines,NASDelay,18
American Airlines,NASDelay,10
United Air Lines,NASDelay,30
ExpressJet Airlines,NASDelay,233
ExpressJet Airlines,NASDelay,3
Delta Air Lines,NASDelay,15
SkyWest Airlines,NASDelay,80
Delta Air Lines,NASDelay,5
SkyWest Airlines,NASDelay,40
SkyWest Airlines,NASDelay,4
ExpressJet Airlines,NASDelay,26
United Air Lines,NASDelay,32
Delta Air Lines,NASDelay,11
American Airlines,NASDelay,26
Southwest,NASDelay,21
Southwest,NASDelay,1
American Airlines,NASDelay,16
Southwest,NASDelay,15
SkyWest Airlines,NASDelay,8
Southwest,NASDelay,9
American Airlines,NASDelay,29
Delta Air Lines,NASDelay,63
American Airlines,NASDelay,19
SkyWest Airlines,NASDelay,15
Southwest,NASDelay,15
Delta Air Lines,NASDelay,12
Delta Air Lines,NASDelay,1
American Airlines,NASDelay,12
American Airlines,NASDelay,41
Delta Air Lines,NASDelay,18
American Airlines,NASDelay,11
American Airlines,NASDelay,28
Southwest,NASDelay,9
Delta Air Lines,NASDelay,129
Delta Air Lines,NASDelay,30
Southwest,NASDelay,4
United Air Lines,NASDelay,20
SkyWest Airlines,NASDelay,20
ExpressJet Airlines,NASDelay,53
American Airlines,NASDelay,6
SkyWest Airlines,NASDelay,18
Delta Air Lines,NASDelay,2
SkyWest Airlines,NASDelay,1343
Southwest,NASDelay,15
American Airlines,NASDelay,11
Southwest,NASDelay,7
Southwest,NASDelay,3
American Airlines,NASDelay,37
American Airlines,NASDelay,16
American Airlines,NASDelay,34
ExpressJet Airlines,NASDelay,40
Southwest,NASDelay,19
SkyWest Airlines,NASDelay,25
Southwest,NASDelay,22
ExpressJet Airlines,NASDelay,1
Southwest,NASDelay,36
SkyWest Airlines,NASDelay,18
SkyWest Airlines,NASDelay,37
ExpressJet Airlines,NASDelay,40
American Airlines,NASDelay,3
ExpressJet Airlines,NASDelay,22
Southwest,NASDelay,9
Southwest,NASDelay,17
SkyWest Airlines,NASDelay,15
SkyWest Airlines,NASDelay,42
SkyWest Airlines,NASDelay,18
United Air Lines,NASDelay,7
Delta Air Lines,NASDelay,42
ExpressJet Airlines,NASDelay,7
Delta Air Lines,NASDelay,17
American Airlines,NASDelay,20
American Airlines,NASDelay,8
Southwest,NASDelay,11
American Airlines,NASDelay,16
Southwest,NASDelay,14
American Airlines,NASDelay,47
Southwest,NASDelay,17
Southwest,NASDelay,16
SkyWest Airlines,NASDelay,10
SkyWest Airlines,NASDelay,15
SkyWest Airlines,NASDelay,103
ExpressJet Airlines,NASDelay,44
ExpressJet Airlines,NASDelay,8
Southwest,NASDelay,86
Southwest,NASDelay,16
Southwest,NASDelay,35
ExpressJet Airlines,NASDelay,21
American Airlines,NASDelay,21
American Airlines,NASDelay,3
American Airlines,NASDelay,13
Delta Air Lines,NASDelay,19
Southwest,NASDelay,8
Southwest,NASDelay,14
United Air Lines,NASDelay,11
American Airlines,NASDelay,10
Southwest,NASDelay,8
United Air Lines,NASDelay,45
United Air Lines,NASDelay,9
Southwest,NASDelay,43
SkyWest Airlines,NASDelay,54
Delta Air Lines,NASDelay,2
American Airlines,NASDelay,68
SkyWest Airlines,NASDelay,12
United Air Lines,NASDelay,15
Southwest,NASDelay,2
SkyWest Airlines,NASDelay,4
American Airlines,NASDelay,21
Southwest,NASDelay,82
SkyWest Airlines,NASDelay,43
American Airlines,NASDelay,33
American Airlines,NASDelay,40
United Air Lines,NASDelay,220
SkyWest Airlines,NASDelay,10
American Airlines,NASDelay,37
United Air Lines,NASDelay,44
Delta Air Lines,NASDelay,2
Delta Air Lines,NASDelay,2
Southwest,NASDelay,10
American Airlines,NASDelay,19
ExpressJet Airlines,NASDelay,4
ExpressJet Airlines,NASDelay,73
SkyWest Airlines,NASDelay,7
Southwest,NASDelay,13
American Airlines,NASDelay,25
Southwest,NASDelay,22
Delta Air Lines,NASDelay,9
United Air Lines,NASDelay,5
Southwest,NASDelay,1
United Air Lines,NASDelay,82
Southwest,NASDelay,48
Southwest,NASDelay,6
United Air Lines,NASDelay,20
Southwest,NASDelay,16
SkyWest Airlines,NASDelay,15
American Airlines,NASDelay,16
American Airlines,NASDelay,8
American Airlines,NASDelay,22
SkyWest Airlines,NASDelay,136
ExpressJet Airlines,NASDelay,6
SkyWest Airlines,NASDelay,7
American Airlines,NASDelay,27
United Air Lines,NASDelay,19
SkyWest Airlines,NASDelay,57
Delta Air Lines,NASDelay,20
United Air Lines,NASDelay,16
Delta Air Lines,NASDelay,8
United Air Lines,NASDelay,1
Southwest,NASDelay,26
United Air Lines,NASDelay,17
Southwest,NASDelay,7
United Air Lines,NASDelay,43
Southwest,NASDelay,6
American Airlines,NASDelay,44
American Airlines,NASDelay,3
Delta Air Lines,NASDelay,4
SkyWest Airlines,NASDelay,13
Delta Air Lines,NASDelay,35
SkyWest Airlines,NASDelay,30
SkyWest Airlines,NASDelay,51
ExpressJet Airlines,NASDelay,5
Delta Air Lines,NASDelay,15
SkyWest Airlines,NASDelay,8
SkyWest Airlines,NASDelay,23
Southwest,NASDelay,1
Southwest,NASDelay,1
Southwest,NASDelay,43
American Airlines,NASDelay,15
Delta Air Lines,NASDelay,16
Delta Air Lines,NASDelay,162
SkyWest Airlines,NASDelay,10
Delta Air Lines,NASDelay,33
American Airlines,NASDelay,20
ExpressJet Airlines,NASDelay,29
Southwest,NASDelay,9
American Airlines,NASDelay,4
Southwest,NASDelay,5
Southwest,NASDelay,30
Southwest,NASDelay,16
Southwest,NASDelay,16
ExpressJet Airlines,NASDelay,21
Southwest,NASDelay,2
Southwest,NASDelay,4
ExpressJet Airlines,NASDelay,82
Delta Air Lines,NASDelay,22
Delta Air Lines,NASDelay,36
American Airlines,NASDelay,6
Southwest,NASDelay,15
American Airlines,NASDelay,5
Southwest,NASDelay,43
American Airlines,NASDelay,45
SkyWest Airlines,NASDelay,34
Southwest,NASDelay,45
SkyWest Airlines,NASDelay,7
Southwest,NASDelay,19
American Airlines,NASDelay,35
Southwest,NASDelay,12
SkyWest Airlines,NASDelay,166
American Airlines,NASDelay,7
Delta Air Lines,NASDelay,43
American Airlines,NASDelay,10
American Airlines,NASDelay,22
American Airlines,NASDelay,24
United Air Lines,NASDelay,18
American Airlines,NASDelay,17
SkyWest Airlines,NASDelay,1
SkyWest Airlines,NASDelay,15
American Airlines,NASDelay,11
United Air Lines,NASDelay,518
SkyWest Airlines,NASDelay,14
ExpressJet Airlines,NASDelay,12
Southwest,NASDelay,2
American Airlines,NASDelay,2
ExpressJet Airlines,NASDelay,21
American Airlines,NASDelay,26
SkyWest Airlines,NASDelay,8
SkyWest Airlines,NASDelay,24
Southwest,NASDelay,13
Delta Air Lines,NASDelay,9
United Air Lines,NASDelay,36
Southwest,NASDelay,4
Southwest,NASDelay,30
American Airlines,NASDelay,29
Delta Air Lines,NASDelay,32
Delta Air Lines,NASDelay,18
American Airlines,NASDelay,19
United Air Lines,NASDelay,15
Delta Air Lines,NASDelay,1
Southwest,NASDelay,3
ExpressJet Airlines,NASDelay,6
Southwest,NASDelay,1
ExpressJet Airlines,NASDelay,44
Southwest,NASDelay,38
United Air Lines,NASDelay,6
Delta Air Lines,NASDelay,34
ExpressJet Airlines,NASDelay,1
American Airlines,NASDelay,90
Southwest,NASDelay,12
Delta Air Lines,NASDelay,17
American Airlines,NASDelay,13
SkyWest Airlines,NASDelay,12
Southwest,NASDelay,3
ExpressJet Airlines,NASDelay,7
Delta Air Lines,NASDelay,15
Southwest,NASDelay,13
SkyWest Airlines,NASDelay,19
Southwest,NASDelay,1
SkyWest Airlines,NASDelay,4
ExpressJet Airlines,NASDelay,5
Southwest,NASDelay,8
Delta Air Lines,NASDelay,7
Southwest,NASDelay,3
American Airlines,NASDelay,12
ExpressJet Airlines,NASDelay,11
American Airlines,NASDelay,19
Delta Air Lines,NASDelay,14
SkyWest Airlines,NASDelay,6
SkyWest Airlines,NASDelay,18
Southwest,NASDelay,22
Southwest,NASDelay,26
United Air Lines,NASDelay,15
Delta Air Lines,NASDelay,21
United Air Lines,NASDelay,1
United Air Lines,NASDelay,4
SkyWest Airlines,NASDelay,37
American Airlines,NASDelay,2
United Air Lines,NASDelay,21
American Airlines,NASDelay,88
SkyWest Airlines,NASDelay,13
ExpressJet Airlines,NASDelay,116
SkyWest Airlines,NASDelay,66
United Air Lines,NASDelay,15
Southwest,NASDelay,2
American Airlines,NASDelay,9
American Airlines,NASDelay,14
SkyWest Airlines,NASDelay,42
SkyWest Airlines,NASDelay,49
SkyWest Airlines,NASDelay,6
SkyWest Airlines,NASDelay,5
Delta Air Lines,NASDelay,237
Delta Air Lines,NASDelay,7
Delta Air Lines,NASDelay,22
ExpressJet Airlines,NASDelay,23
ExpressJet Airlines,NASDelay,41
ExpressJet Airlines,NASDelay,45
Southwest,NASDelay,8
Delta Air Lines,NASDelay,26
American Airlines,NASDelay,35
United Air Lines,NASDelay,11
Southwest,NASDelay,4
SkyWest Airlines,NASDelay,22
American Airlines,NASDelay,36
Delta Air Lines,NASDelay,83
Southwest,NASDelay,18
SkyWest Airlines,NASDelay,7
SkyWest Airlines,NASDelay,4
Delta Air Lines,NASDelay,30
SkyWest Airlines,NASDelay,15
American Airlines,NASDelay,67
American Airlines,NASDelay,5
United Air Lines,NASDelay,24
Delta Air Lines,NASDelay,9
American Airlines,NASDelay,18
Southwest,NASDelay,33
Southwest,NASDelay,114
Southwest,NASDelay,5
American Airlines,NASDelay,40
Southwest,NASDelay,8
United Air Lines,NASDelay,29
ExpressJet Airlines,NASDelay,143
Delta Air Lines,NASDelay,11
United Air Lines,NASDelay,98
ExpressJet Airlines,NASDelay,6
Delta Air Lines,NASDelay,16
United Air Lines,NASDelay,14
American Airlines,NASDelay,2
Southwest,NASDelay,2
ExpressJet Airlines,NASDelay,44
Southwest,NASDelay,28
Southwest,NASDelay,5
Southwest,NASDelay,19
Southwest,NASDelay,7
Southwest,NASDelay,6
ExpressJet Airlines,NASDelay,12
Delta Air Lines,NASDelay,31
American Airlines,NASDelay,18
American Airlines,NASDelay,22
Delta Air Lines,NASDelay,58
SkyWest Airlines,NASDelay,24
American Airlines,NASDelay,212
Delta Air Lines,NASDelay,4
Southwest,NASDelay,17
Delta Air Lines,NASDelay,21
Southwest,NASDelay,15
ExpressJet Airlines,NASDelay,5
ExpressJet Airlines,NASDelay,16
ExpressJet Airlines,NASDelay,18
Southwest,NASDelay,17
American Airlines,NASDelay,70
SkyWest Airlines,NASDelay,11
Southwest,NASDelay,11
Delta Air Lines,NASDelay,2
Southwest,NASDelay,19
Delta Air Lines,NASDelay,5
Delta Air Lines,NASDelay,27
Delta Air Lines,NASDelay,29
American Airlines,NASDelay,106
United Air Lines,NASDelay,23
Southwest,NASDelay,6
Delta Air Lines,NASDelay,19
United Air Lines,NASDelay,1
SkyWest Airlines,NASDelay,7
SkyWest Airlines,NASDelay,25
American Airlines,NASDelay,10
Southwest,NASDelay,1
