Reporting_Airline,DepDelay,ArrDelay,AirTime,Distance,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,Num_Flights
American Airlines,9.352469257578747,5.044869687205454,139.06788540365181,1033.6959075864186,3.8739834725236184,0.6262686043707941,2.8656320554130774,0.017974178558120165,4.478704982354618,45621
Delta Air Lines,7.670219086520609,0.7522836984775344,117.99309320460453,870.6036576308949,3.244244337170442,0.7148347567768288,2.380709246193836,0.0020794652803564797,2.735722242851838,53860
ExpressJet Airlines,11.991726438698915,8.773077564637198,73.30462051709758,469.3555296080067,5.140884070058382,0.3486238532110092,3.714562135112594,0.0004336947456213511,6.117864887406172,29975
SkyWest Airlines,8.798773872896536,6.437041148421929,73.97323208113632,478.3175820571688,4.167066125085148,0.585917198577087,2.43598153240659,0.014456189923556273,5.4147135252415675,39637
Southwest,11.379226864506052,5.815840166601588,102.8828192112456,738.5111805284395,3.023142001822205,0.414317323961994,1.5596772094234024,0.012143693869582195,5.455707405961213,76830
United Air Lines,11.148236863648767,3.82441405657803,161.90773475637488,1243.772808586762,3.336254206967648,0.5222097571328947,3.5055941299536095,0.009126466753585397,4.792334980746491,32981
